"date","new_cases","hosp_patients","icu_patients","location"
"13-02-2021",12143,NULL,NULL,"India"
"14-02-2021",12194,NULL,NULL,"India"
"15-02-2021",11649,NULL,NULL,"India"
"16-02-2021",9121,NULL,NULL,"India"
"17-02-2021",11610,NULL,NULL,"India"
"18-02-2021",12881,NULL,NULL,"India"
"19-02-2021",13193,NULL,NULL,"India"
"20-02-2021",13993,NULL,NULL,"India"
"21-02-2021",14264,NULL,NULL,"India"
"22-02-2021",14199,NULL,NULL,"India"
"23-02-2021",10584,NULL,NULL,"India"
"24-02-2021",13742,NULL,NULL,"India"
"25-02-2021",16738,NULL,NULL,"India"
"26-02-2021",16577,NULL,NULL,"India"
"27-02-2021",16488,NULL,NULL,"India"
"28-02-2021",16752,NULL,NULL,"India"
"03-01-2021",15510,NULL,NULL,"India"
"03-02-2021",12286,NULL,NULL,"India"
"03-03-2021",14989,NULL,NULL,"India"
"03-04-2021",17407,NULL,NULL,"India"
"03-05-2021",16838,NULL,NULL,"India"
"05-08-2023",NULL,NULL,NULL,"India"
"03-06-2021",18327,NULL,NULL,"India"
"03-07-2021",18711,NULL,NULL,"India"
"03-08-2021",18599,NULL,NULL,"India"
"03-09-2021",15388,NULL,NULL,"India"
"03-10-2021",17921,NULL,NULL,"India"
"03-11-2021",22854,NULL,NULL,"India"
"03-12-2021",23285,NULL,NULL,"India"
"13-03-2021",24882,NULL,NULL,"India"
"14-03-2021",25320,NULL,NULL,"India"
"15-03-2021",26291,NULL,NULL,"India"
"16-03-2021",24492,NULL,NULL,"India"
"17-03-2021",28903,NULL,NULL,"India"
"18-03-2021",35871,NULL,NULL,"India"
"19-03-2021",39726,NULL,NULL,"India"
"20-03-2021",40953,NULL,NULL,"India"
"21-03-2021",43846,NULL,NULL,"India"
"22-03-2021",46951,NULL,NULL,"India"
"23-03-2021",40715,NULL,NULL,"India"
"24-03-2021",47262,NULL,NULL,"India"
"25-03-2021",53476,NULL,NULL,"India"
"26-03-2021",59118,NULL,NULL,"India"
"27-03-2021",62258,NULL,NULL,"India"
"28-03-2021",62714,NULL,NULL,"India"
"29-03-2021",68020,NULL,NULL,"India"
"30-03-2021",56211,NULL,NULL,"India"
"31-03-2021",53480,NULL,NULL,"India"
"04-01-2021",72330,NULL,NULL,"India"
"04-02-2021",81466,NULL,NULL,"India"
"04-03-2021",89129,NULL,NULL,"India"
"04-04-2021",93249,NULL,NULL,"India"
"04-05-2021",103558,NULL,NULL,"India"
"04-06-2021",96982,NULL,NULL,"India"
"04-07-2021",115736,NULL,NULL,"India"
"04-08-2021",126789,NULL,NULL,"India"
"04-09-2021",131968,NULL,NULL,"India"
"04-10-2021",145384,NULL,NULL,"India"
"04-11-2021",152879,NULL,NULL,"India"
"04-12-2021",168912,NULL,NULL,"India"
"13-04-2021",161736,NULL,NULL,"India"
"14-04-2021",184372,NULL,NULL,"India"
"15-04-2021",200739,NULL,NULL,"India"
"16-04-2021",217353,NULL,NULL,"India"
"17-04-2021",234692,NULL,NULL,"India"
"18-04-2021",261500,NULL,NULL,"India"
"19-04-2021",273810,NULL,NULL,"India"
"20-04-2021",259170,NULL,NULL,"India"
"21-04-2021",295041,NULL,NULL,"India"
"22-04-2021",314835,NULL,NULL,"India"
"23-04-2021",332730,NULL,NULL,"India"
"24-04-2021",346786,NULL,NULL,"India"
"25-04-2021",349691,NULL,NULL,"India"
"26-04-2021",352991,NULL,NULL,"India"
"27-04-2021",323144,NULL,NULL,"India"
"28-04-2021",360960,NULL,NULL,"India"
"29-04-2021",379257,NULL,NULL,"India"
"30-04-2021",386452,NULL,NULL,"India"
"05-01-2021",401993,NULL,NULL,"India"
"05-02-2021",392488,NULL,NULL,"India"
"05-03-2021",368147,NULL,NULL,"India"
"05-04-2021",357229,NULL,NULL,"India"
"05-05-2021",382315,NULL,NULL,"India"
"05-06-2021",412262,NULL,NULL,"India"
"05-07-2021",414188,NULL,NULL,"India"
"05-08-2021",401078,NULL,NULL,"India"
"05-09-2021",403738,NULL,NULL,"India"
"05-10-2021",366161,NULL,NULL,"India"
"05-11-2021",329942,NULL,NULL,"India"
"05-12-2021",348421,NULL,NULL,"India"
"13-05-2021",362727,NULL,NULL,"India"
"14-05-2021",343144,NULL,NULL,"India"
"15-05-2021",326098,NULL,NULL,"India"
"16-05-2021",311170,NULL,NULL,"India"
"17-05-2021",281386,NULL,NULL,"India"
"18-05-2021",263533,NULL,NULL,"India"
"19-05-2021",267334,NULL,NULL,"India"
"20-05-2021",276110,NULL,NULL,"India"
"21-05-2021",259551,NULL,NULL,"India"
"22-05-2021",257299,NULL,NULL,"India"
"23-05-2021",240842,NULL,NULL,"India"
"24-05-2021",222315,NULL,NULL,"India"
"25-05-2021",196427,NULL,NULL,"India"
"26-05-2021",208921,NULL,NULL,"India"
"27-05-2021",211298,NULL,NULL,"India"
"28-05-2021",186364,NULL,NULL,"India"
"29-05-2021",173790,NULL,NULL,"India"
"30-05-2021",165553,NULL,NULL,"India"
"31-05-2021",152734,NULL,NULL,"India"
"06-01-2021",127510,NULL,NULL,"India"
"06-02-2021",132788,NULL,NULL,"India"
"06-03-2021",134154,NULL,NULL,"India"
